,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Districts,Ward,Male Population,Female Population,Total Population
Zimbabwe,Total,7289558,7889421,15178979
Bulawayo,Total,307983,357957,665940
Bulawayo,Ward 01,3793,4125,7918
Bulawayo,Ward 02,12484,13754,26238
Bulawayo,Ward 03,16644,18532,35176
Bulawayo,Ward 04,13007,14132,27139
Bulawayo,Ward 05,9611,10550,20161
Bulawayo,Ward 06,6142,6958,13100
Bulawayo,Ward 07,8436,8983,17419
Bulawayo,Ward 08,10523,11653,22176
Bulawayo,Ward 09,11719,13298,25017
Bulawayo,Ward 10,12644,14901,27545
Bulawayo,Ward 11,7919,9711,17630
Bulawayo,Ward 12,11895,13582,25477
Bulawayo,Ward 13,8245,9357,17602
Bulawayo,Ward 14,9087,10773,19860
Bulawayo,Ward 15,6180,7288,13468
Bulawayo,Ward 16,6773,8737,15510
Bulawayo,Ward 17,7390,8845,16235
Bulawayo,Ward 18,9777,11390,21167
Bulawayo,Ward 19,8998,10546,19544
Bulawayo,Ward 20,8148,10094,18242
Bulawayo,Ward 21,12193,13516,25709
Bulawayo,Ward 22,7785,9407,17192
Bulawayo,Ward 23,7873,9448,17321
Bulawayo,Ward 24,9788,11455,21243
Bulawayo,Ward 25,10609,12560,23169
Bulawayo,Ward 26,10229,12082,22311
Bulawayo,Ward 27,17924,21881,39805
Bulawayo,Ward 28,34310,40760,75070
Bulawayo,Ward 29,7857,9639,17496
Bulawayo,Total,307983,357957,665940
Manicaland,Total,965532,1072230,2037762
Buhera,Ward 01,1964,2341,4305
Buhera,Ward 02,1961,2238,4199
Buhera,Ward 03,2224,2733,4957
Buhera,Ward 04,2841,3329,6170
Buhera,Ward 05,4146,4843,8989
Buhera,Ward 06,4058,4545,8603
Buhera,Ward 07,3087,3520,6607
Buhera,Ward 08,2360,2775,5135
Buhera,Ward 09,2329,2602,4931
Buhera,Ward 10,2531,3076,5607
Buhera,Ward 11,2868,3277,6145
Buhera,Ward 12,3944,4218,8162
Buhera,Ward 13,3155,3471,6626
Buhera,Ward 14,8582,10089,18671
Buhera,Ward 15,4559,5537,10096
Buhera,Ward 16,3147,3561,6708
Buhera,Ward 17,1999,2423,4422
Buhera,Ward 18,3469,4047,7516
Buhera,Ward 19,2562,3066,5628
Buhera,Ward 20,3727,4278,8005
Buhera,Ward 21,3323,3882,7205
Buhera,Ward 22,6685,7852,14537
Buhera,Ward 23,5688,6591,12279
Buhera,Ward 24,4571,5321,9892
Buhera,Ward 25,5668,6580,12248
Buhera,Ward 26,4095,4812,8907
Buhera,Ward 27,4448,5174,9622
Buhera,Ward 28,5823,6790,12613
Buhera,Ward 29,5686,6689,12375
Buhera,Ward 30,2618,3104,5722
Buhera,Ward 31,2558,3040,5598
Buhera,Ward 32,2893,3300,6193
Buhera,Ward 33,6204,7043,13247
Buhera,Total,125773,146147,271920
Chimanimani,Ward 01,2831,2822,5653
Chimanimani,Ward 02,2028,2330,4358
Chimanimani,Ward 03,2724,3265,5989
Chimanimani,Ward 04,4885,5695,10580
Chimanimani,Ward 05,3753,3963,7716
Chimanimani,Ward 06,1173,1395,2568
Chimanimani,Ward 07,4213,4800,9013
Chimanimani,Ward 08,4320,4965,9285
Chimanimani,Ward 09,810,901,1711
Chimanimani,Ward 10,1388,1645,3033
Chimanimani,Ward 11,1453,1346,2799
Chimanimani,Ward 12,3194,2638,5832
Chimanimani,Ward 13,6102,6775,12877
Chimanimani,Ward 14,3043,2964,6007
Chimanimani,Ward 15,2932,3256,6188
Chimanimani,Ward 16,7071,7084,14155
Chimanimani,Ward 17,2192,2563,4755
Chimanimani,Ward 18,1173,1281,2454
Chimanimani,Ward 19,1292,1544,2836
Chimanimani,Ward 20,3382,3993,7375
Chimanimani,Ward 21,3960,4372,8332
Chimanimani,Ward 22,5415,5992,11407
Chimanimani,Ward 23,3906,4791,8697
Chimanimani,Total,73240,80380,153620
Chipinge Rural,Ward 01,4171,4940,9111
Chipinge Rural,Ward 02,3275,3907,7182
Chipinge Rural,Ward 03,5215,6429,11644
Chipinge Rural,Ward 04,3243,4099,7342
Chipinge Rural,Ward 05,9266,9253,18519
Chipinge Rural,Ward 06,7844,8658,16502
Chipinge Rural,Ward 07,3239,3135,6374
Chipinge Rural,Ward 08,8414,8544,16958
Chipinge Rural,Ward 09,2854,3173,6027
Chipinge Rural,Ward 10,2879,2677,5556
Chipinge Rural,Ward 11,1975,2098,4073
Chipinge Rural,Ward 12,2801,3128,5929
Chipinge Rural,Ward 13,5332,6125,11457
Chipinge Rural,Ward 14,2488,2970,5458
Chipinge Rural,Ward 15,4057,5014,9071
Chipinge Rural,Ward 16,6744,8117,14861
Chipinge Rural,Ward 17,6744,8057,14801
Chipinge Rural,Ward 18,5693,6648,12341
Chipinge Rural,Ward 19,7168,7903,15071
Chipinge Rural,Ward 20,9526,11741,21267
Chipinge Rural,Ward 21,4997,6179,11176
Chipinge Rural,Ward 22,5449,6375,11824
Chipinge Rural,Ward 23,5243,6057,11300
Chipinge Rural,Ward 24,14012,17148,31160
Chipinge Rural,Ward 25,7271,8860,16131
Chipinge Rural,Ward 26,10694,12106,22800
Chipinge Rural,Ward 27,4068,5077,9145
Chipinge Rural,Ward 28,10808,12354,23162
Chipinge Rural,Ward 29,6756,7798,14554
Chipinge Rural,Ward 30,2081,2382,4463
Chipinge Rural,Total,174307,200952,375259
