date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-01-15,,,Mandava,,,cereals and tubers,Maize,KG,actual,Retail,USD,0.26,0.2571
2010-01-15,,,Murombedzi,,,cereals and tubers,Maize,KG,actual,Retail,USD,0.23,0.2286
2010-01-15,,,Renkini Bus Terminus,,,cereals and tubers,Maize,KG,actual,Retail,USD,0.31,0.3143
2010-01-15,Harare,Harare,Mbare,-17.858056,31.037222,cereals and tubers,Maize,KG,actual,Retail,USD,0.31,0.3143
2010-01-15,Manicaland,Chimanimani,Nyanyadzi,-19.766667,32.416667,cereals and tubers,Maize,KG,actual,Retail,USD,0.43,0.4286
2010-01-15,Mashonaland Central,Bindura Urban,Bindura,-17.301922,31.330563,cereals and tubers,Maize,KG,actual,Retail,USD,0.29,0.2857
2010-01-15,Mashonaland Central,Mount Darwin,Mount Darwin,-16.7833333,31.5833333,cereals and tubers,Maize,KG,actual,Retail,USD,0.23,0.2286
2010-01-15,Mashonaland East,Marondera Urban,Dombotombo,-18.185266,31.551933,cereals and tubers,Maize,KG,actual,Retail,USD,0.29,0.2857
2010-01-15,Mashonaland East,Murehwa,Murehwa,-17.643215,31.783996,cereals and tubers,Maize,KG,actual,Retail,USD,0.29,0.2857
2010-01-15,Mashonaland West,Chinhoyi,Chikonohono,-17.366667,30.2,cereals and tubers,Maize,KG,actual,Retail,USD,0.26,0.2571
2010-02-15,,,Mandava,,,cereals and tubers,Maize,KG,actual,Retail,USD,0.29,0.2857
2010-02-15,,,Murombedzi,,,cereals and tubers,Maize,KG,actual,Retail,USD,0.23,0.2286
2010-02-15,Harare,Harare,Mbare,-17.858056,31.037222,cereals and tubers,Maize,KG,actual,Retail,USD,0.34,0.3429
2010-02-15,Manicaland,Chimanimani,Nyanyadzi,-19.766667,32.416667,cereals and tubers,Maize,KG,actual,Retail,USD,0.49,0.4857
