ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Efficiency
Beitbridge,ZW1601,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Rural,0.298013
Beitbridge Urban,ZW1622,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Urban,0.44659
Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Bikita,0.245506
Bindura,ZW1201,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura Rural,0.370233
Bindura Urban,ZW1221,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura,0.131693
Binga,ZW1501,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Binga,0.20353
Bubi,ZW1502,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Bubi,0.54145
Buhera,ZW1101,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Buhera,0.267474
Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,Bulawayo,Bulawayo Urban,0.51838
Bulilima,ZW1602,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Bulilima,0.361341
Centenary/ Muzarabani,ZW1202,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Muzarabani,0.356373
Chegutu,ZW1401,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu Rural,0.406004
Chegutu Urban,ZW1423,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu,0.344393
Chikomba,ZW1301,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Chikomba,0.663573
Chimanimani,ZW1102,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chimamimani,0.355463
Chinhoyi,ZW1421,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chinhoyi,0.192882
Chipinge,ZW1103,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chipinge,0.223942
Chipinge Urban,ZW1123,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chipinge Urban,0.513463
Chiredzi,ZW1802,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chiredzi,0.634861
Chiredzi Urban,ZW1822,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chiredzi Town,0.324793
Chirumhanzu,ZW1701,Midlands,ZW17,Zimbabwe,ZW,Midlands,Chirumhanzu,0.340668
Chitungwiza,ZW1922,Harare,ZW19,Zimbabwe,ZW,Harare,Chitungwiza,0.537228
Chivi,ZW1803,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chivi,0.548094
Epworth,ZW1923,Harare,ZW19,Zimbabwe,ZW,Harare,Epworth,0.348616
Gokwe North,ZW1702,Midlands,ZW17,Zimbabwe,ZW,Midlands,Gokwe North,0.030616
Gokwe South,ZW1703,Midlands,ZW17,Zimbabwe,ZW,Midlands,Gokwe South,0.265208
Gokwe South Urban,ZW1729,Midlands,ZW17,Zimbabwe,ZW,Midlands,Gokwe South Urban,0.292556
Goromonzi,ZW1302,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Goromonzi,0.238566
Guruve,ZW1203,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Guruve,0.374298
Gutu,ZW1804,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Gutu,0.666789
Gwanda,ZW1604,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Gwanda Rural,0.439276
Gwanda Urban,ZW1621,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Gwanda,0.265173
Gweru,ZW1704,Midlands,ZW17,Zimbabwe,ZW,Midlands,Gweru Rural,0.110458
Gweru Urban,ZW1721,Midlands,ZW17,Zimbabwe,ZW,Midlands,Gweru,0.339111
Harare,ZW1921,Harare,ZW19,Zimbabwe,ZW,Harare,Harare Urban,0.244733
Harare Rural,ZW1924,Harare,ZW19,Zimbabwe,ZW,Harare,Harare Rural,0.118201
Hurungwe,ZW1402,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Hurungwe,0.524132
