ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Potential
Beitbridge,ZW1601,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Rural,311.765106
Beitbridge Urban,ZW1622,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Urban,42.985424
Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Bikita,255.870941
Bindura,ZW1201,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura Rural,2386.842041
Bindura Urban,ZW1221,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura,8996.470703
Binga,ZW1501,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Binga,465.662262
Bubi,ZW1502,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Bubi,149.344589
Buhera,ZW1101,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Buhera,148.113083
Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,Bulawayo,Bulawayo Urban,157.416473
Bulilima,ZW1602,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Bulilima,164.28389
Centenary/ Muzarabani,ZW1202,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Muzarabani,400.645416
Chegutu,ZW1401,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu Rural,607.40564
Chegutu Urban,ZW1423,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu,785.711182
Chikomba,ZW1301,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Chikomba,185.902252
Chimanimani,ZW1102,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chimamimani,356.054962
Chinhoyi,ZW1421,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chinhoyi,3944.909912
Chipinge,ZW1103,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chipinge,209.510468
