ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Poverty rate
Beitbridge,ZW1601,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Rural,62.3
Beitbridge Urban,ZW1622,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Urban,37.3
Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Bikita,80.1
Bindura,ZW1201,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura Rural,82.2
Bindura Urban,ZW1221,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura,30.8
Binga,ZW1501,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Binga,85.6
Bubi,ZW1502,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Bubi,76.7
Buhera,ZW1101,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Buhera,84.5
Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,Bulawayo,Bulawayo Urban,22.3
Bulilima,ZW1602,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Bulilima,72.4
Centenary/ Muzarabani,ZW1202,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Muzarabani,89.2
Chegutu,ZW1401,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu Rural,65.1
Chegutu Urban,ZW1423,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu,33.3
Chikomba,ZW1301,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Chikomba,58.8
Chimanimani,ZW1102,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chimamimani,70.8
Chinhoyi,ZW1421,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chinhoyi,39.2
Chipinge,ZW1103,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chipinge,82.2
Chipinge Urban,ZW1123,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chipinge Urban,52.9
Chiredzi,ZW1802,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chiredzi,67.2
Chiredzi Urban,ZW1822,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chiredzi Town,20.6
Chirumhanzu,ZW1701,Midlands,ZW17,Zimbabwe,ZW,Midlands,Chirumhanzu,75.4
Chitungwiza,ZW1922,Harare,ZW19,Zimbabwe,ZW,Harare,Chitungwiza,37.3
Chivi,ZW1803,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Chivi,67.9
