ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,cat_tercil
Beitbridge,ZW1601,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Rural,Low priority with high agricultural opportunities
Beitbridge Urban,ZW1622,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Beitbridge Urban,Low priority
Bikita,ZW1801,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Bikita,Critical with moderate opportunities
Bindura,ZW1201,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura Rural,High priority
Bindura Urban,ZW1221,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Bindura,Low priority with high agricultural opportunities
Binga,ZW1501,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Binga,High priority
Bubi,ZW1502,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Bubi,Critical with moderate opportunities
Buhera,ZW1101,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Buhera,Critical with moderate opportunities
Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,Bulawayo,Bulawayo Urban,Low priority
Bulilima,ZW1602,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Bulilima,Medium priority with moderate agricultural opportunities
Centenary/ Muzarabani,ZW1202,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Muzarabani,High priority
Chegutu,ZW1401,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu Rural,Medium priority with high agricultural opportunities
Chegutu Urban,ZW1423,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Chegutu,Low priority with high agricultural opportunities
Chikomba,ZW1301,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Chikomba,Low priority
Chimanimani,ZW1102,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Chimamimani,Medium priority with high agricultural opportunities
